;Sample 1.1;Sample 1.2;Sample 2.1;Sample 2.2;Muestra Gerble 1,5;Muestra Prince 1,5;Muestra Prince 2;Muestra Gerble 2;Prince;Gerblé;Upper Bound;Lower Bound
Overall Balance profile;3.7;3.3;4.0;3.8;3.3;4.9;5.1;3.4;5.34;3.01;6.34;3.01
Sweetness;2.6;2.6;3.0;3.3;2.9;4.8;5.0;2.8;5.09;2.62;6.09;2.62
Bitterness;2.0;2.3;1.7;1.4;2.4;0.5;0.7;2.3;0.60;3.10;3.10;0.00
Chocolate flavor;3.1;3.2;3.1;3.4;3.2;4.0;4.2;3.2;4.11;3.24;5.11;3.11
Vanilla flavor;1.2;0.8;1.4;1.3;0.9;2.0;1.8;0.8;2.22;0.75;3.22;0.75
Hardness;3.6;5.2;3.7;5.2;3.0;3.5;4.0;3.1;3.37;3.14;4.37;2.37
Fracturability;5.0;4.6;5.3;5.2;6.0;5.8;5.6;5.9;5.92;5.92;6.92;4.92
Cocolate aftertaste;1.8;2.6;1.9;2.5;2.5;2.6;2.5;2.3;2.56;2.43;3.56;1.56
Off notes;1.5;1.8;1.3;1.7;2.7;0.6;0.9;2.6;0.39;2.68;2.68;0.00
Cookie-filing balance;3.5;3.3;3.6;3.6;3.3;4.8;5.0;3.7;5.17;3.15;6.17;3.15